0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:04:06 +0530] "GET /collaborationback//userById/ HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:04:33 +0530] "GET /collaborationback//userById/%7BemailId%7D HTTP/1.1" 406 1110
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:08:14 +0530] "GET /collaborationback/allUsers/ HTTP/1.1" 406 1110
127.0.0.1 - - [03/Jan/2017:00:11:28 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:11:28 +0530] "GET /CollaborationFront/home.html HTTP/1.1" 200 2621
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:11:28 +0530] "GET /CollaborationFront/resources/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:11:28 +0530] "GET /CollaborationFront/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:11:28 +0530] "GET /CollaborationFront/css/style1.css HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:11:28 +0530] "GET /CollaborationFront/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:11:30 +0530] "GET /CollaborationFront/Images/logo3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:11:39 +0530] "GET /CollaborationFront/home.html HTTP/1.1" 200 2621
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:11:40 +0530] "GET /CollaborationFront/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:11:40 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:12:29 +0530] "GET /CollaborationFront/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:12:40 +0530] "GET /CollaborationFront/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:12:49 +0530] "GET /CollaborationFront/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:12:50 +0530] "GET /CollaborationFront/css/style1.css HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:12:50 +0530] "GET /CollaborationFront/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:12:51 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:12:56 +0530] "GET /CollaborationFront/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:13:11 +0530] "GET /CollaborationFront/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:13:11 +0530] "GET /CollaborationFront/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:13:11 +0530] "GET /CollaborationFront/resources/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:13:11 +0530] "GET /CollaborationFront/resources/js/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:13:11 +0530] "GET /CollaborationFront/css/style1.css HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:13:11 +0530] "GET /CollaborationFront/Images/logo3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:14:04 +0530] "GET /CollaborationFront/adminNavbar.html HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:14:04 +0530] "GET /CollaborationFront/css/adminnavbar.css HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:18:02 +0530] "GET /CollaborationFront/home.html HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:18:02 +0530] "GET /CollaborationFront/resources/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2017:00:18:02 +0530] "GET /CollaborationFront/app.js HTTP/1.1" 304 -
